timestamp,OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume
2025-01-23 15:05:16+00:00,1737644716000.0,0.3565,0.3565,0.35638,0.35638,36881.0,1737644716999.0,13145.24563,79.0,7.0,2.49508
2025-01-23 15:05:17+00:00,1737644717000.0,0.35639,0.35643,0.35639,0.35643,1590.0,1737644717999.0,566.69696,42.0,1130.0,402.75296
2025-01-23 15:05:18+00:00,1737644718000.0,0.35642,0.35642,0.35636,0.3564,26182.0,1737644718999.0,9330.76346,62.0,2239.0,797.97783
2025-01-23 15:05:19+00:00,1737644719000.0,0.3564,0.35642,0.3564,0.35642,7631.0,1737644719999.0,2719.83883,26.0,7631.0,2719.83883
2025-01-23 15:05:20+00:00,1737644720000.0,0.35641,0.35654,0.35641,0.35654,7948.0,1737644720999.0,2833.24042,91.0,6733.0,2400.09055
2025-01-23 15:05:21+00:00,1737644721000.0,0.35653,0.35653,0.35646,0.35646,14558.0,1737644721999.0,5189.80332,62.0,5656.0,2016.47044
2025-01-23 15:05:22+00:00,1737644722000.0,0.35647,0.35665,0.35647,0.35665,5162.0,1737644722999.0,1840.69983,121.0,4602.0,1640.97863
2025-01-23 15:05:23+00:00,1737644723000.0,0.35665,0.35691,0.35665,0.35676,495986.0,1737644723999.0,176962.9461,205.0,490259.0,174919.55813
2025-01-23 15:05:24+00:00,1737644724000.0,0.35675,0.35675,0.35661,0.35661,28861.0,1737644724999.0,10293.12701,107.0,9021.0,3217.23934
2025-01-23 15:05:25+00:00,1737644725000.0,0.35662,0.35668,0.35661,0.35663,91171.0,1737644725999.0,32515.8371,112.0,67872.0,24206.51998
2025-01-23 15:05:26+00:00,1737644726000.0,0.35664,0.35664,0.35655,0.35655,6571.0,1737644726999.0,2343.24827,73.0,48.0,17.11746
2025-01-23 15:05:27+00:00,1737644727000.0,0.35654,0.3566,0.35653,0.35653,36239.0,1737644727999.0,12921.85994,98.0,3276.0,1168.16217
2025-01-23 15:05:28+00:00,1737644728000.0,0.35653,0.35653,0.35647,0.35647,18112.0,1737644728999.0,6456.85148,63.0,10098.0,3599.63448
2025-01-23 15:05:29+00:00,1737644729000.0,0.35646,0.35646,0.35639,0.35639,17613.0,1737644729999.0,6277.34434,68.0,0.0,0.0
2025-01-23 15:05:30+00:00,1737644730000.0,0.35639,0.35647,0.35638,0.35638,17067.0,1737644730999.0,6083.4386,87.0,11428.0,4073.52481
2025-01-23 15:05:31+00:00,1737644731000.0,0.35638,0.35638,0.35635,0.35635,7690.0,1737644731999.0,2740.34832,25.0,1522.0,542.38104
2025-01-23 15:05:32+00:00,1737644732000.0,0.35635,0.35646,0.35635,0.35645,178757.0,1737644732999.0,63706.36468,111.0,144919.0,51644.719
2025-01-23 15:05:33+00:00,1737644733000.0,0.35645,0.35645,0.35627,0.35627,68747.0,1737644733999.0,24495.19923,151.0,30508.0,10870.59117
