timestamp,OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume
2025-01-18 18:42:00+00:00,1737225720000.0,0.39314,0.39314,0.39255,0.39294,381511.0,1737225779999.0,149860.81588,1272.0,150406.0,59101.14677
2025-01-18 18:43:00+00:00,1737225780000.0,0.39293,0.39293,0.39201,0.39208,522076.0,1737225839999.0,204847.84765,1800.0,224773.0,88173.42727
2025-01-18 18:44:00+00:00,1737225840000.0,0.39208,0.39267,0.392,0.39266,260769.0,1737225899999.0,102339.37286,1423.0,183280.0,71922.64492
2025-01-18 18:45:00+00:00,1737225900000.0,0.39265,0.39281,0.39203,0.39203,540707.0,1737225959999.0,212297.36251,1847.0,291322.0,114388.65301
2025-01-18 18:46:00+00:00,1737225960000.0,0.39202,0.39331,0.39194,0.39279,769026.0,1737226019999.0,302059.54755,2402.0,435633.0,171106.46122
2025-01-18 18:47:00+00:00,1737226020000.0,0.39279,0.39345,0.39276,0.39345,554758.0,1737226079999.0,218174.13535,1775.0,227807.0,89584.68875
2025-01-18 18:48:00+00:00,1737226080000.0,0.39345,0.39345,0.3924,0.39253,356112.0,1737226139999.0,139926.72701,1112.0,105171.0,41309.29555
2025-01-18 18:49:00+00:00,1737226140000.0,0.39252,0.39264,0.39148,0.39257,1119580.0,1737226199999.0,438853.99504,2338.0,204060.0,79963.98921
2025-01-18 18:50:00+00:00,1737226200000.0,0.39257,0.39283,0.3922,0.39243,520400.0,1737226259999.0,204285.3891,1402.0,267397.0,104979.80988
2025-01-18 18:51:00+00:00,1737226260000.0,0.39243,0.39251,0.3914,0.39144,721351.0,1737226319999.0,282648.54511,1564.0,130067.0,50935.40674
2025-01-18 18:52:00+00:00,1737226320000.0,0.39143,0.39192,0.39093,0.39107,900755.0,1737226379999.0,352510.36804,1911.0,426427.0,166927.17477
2025-01-18 18:53:00+00:00,1737226380000.0,0.39106,0.39107,0.38986,0.38987,761445.0,1737226439999.0,297156.18564,3575.0,241389.0,94220.39267
2025-01-18 18:54:00+00:00,1737226440000.0,0.38987,0.38997,0.38942,0.38943,1180936.0,1737226499999.0,460287.90775,2363.0,846789.0,330054.20847
2025-01-18 18:55:00+00:00,1737226500000.0,0.38944,0.39007,0.38911,0.38923,3986125.0,1737226559999.0,1552775.47466,3149.0,2671369.0,1040661.94808
2025-01-18 18:56:00+00:00,1737226560000.0,0.38922,0.38968,0.38892,0.38968,1617020.0,1737226619999.0,629315.71177,2719.0,728546.0,283533.81233
2025-01-18 18:57:00+00:00,1737226620000.0,0.38968,0.39083,0.38959,0.39015,1107602.0,1737226679999.0,432264.74911,2622.0,754425.0,294375.36275
2025-01-18 18:58:00+00:00,1737226680000.0,0.39015,0.39042,0.38989,0.39015,388079.0,1737226739999.0,151374.23202,1658.0,302618.0,118038.50332
2025-01-18 18:59:00+00:00,1737226740000.0,0.39015,0.39042,0.39001,0.39023,391043.0,1737226799999.0,152585.91145,1261.0,145258.0,56684.35656
2025-01-18 19:00:00+00:00,1737226800000.0,0.39022,0.3913,0.39016,0.39114,571361.0,1737226859999.0,223272.62514,2406.0,431907.0,168766.04734
2025-01-18 19:01:00+00:00,1737226860000.0,0.39114,0.39176,0.39072,0.39081,643265.0,1737226919999.0,251653.26052,2062.0,264913.0,103623.96283
2025-01-18 19:02:00+00:00,1737226920000.0,0.39081,0.39088,0.39024,0.39081,687195.0,1737226979999.0,268366.94866,2084.0,567189.0,221495.57264
2025-01-18 19:03:00+00:00,1737226980000.0,0.39082,0.39132,0.39053,0.39101,770382.0,1737227039999.0,301157.70088,1902.0,368952.0,144218.00319
2025-01-18 19:04:00+00:00,1737227040000.0,0.391,0.39118,0.39048,0.39077,1814351.0,1737227099999.0,709254.3349,2113.0,680931.0,266110.41449
2025-01-18 19:05:00+00:00,1737227100000.0,0.39077,0.39184,0.39077,0.39179,522942.0,1737227159999.0,204634.0714,2045.0,400642.0,156786.67421
2025-01-18 19:06:00+00:00,1737227160000.0,0.3918,0.39307,0.39163,0.39301,1895977.0,1737227219999.0,744122.35019,4992.0,1395712.0,547726.1488
2025-01-18 19:07:00+00:00,1737227220000.0,0.39301,0.3935,0.39254,0.39321,3696430.0,1737227279999.0,1452946.38304,4674.0,2182600.0,857809.58629
2025-01-18 19:08:00+00:00,1737227280000.0,0.3932,0.39398,0.39281,0.39328,2010126.0,1737227339999.0,790703.28232,2859.0,950329.0,373846.38571
2025-01-18 19:09:00+00:00,1737227340000.0,0.39328,0.39393,0.39298,0.39373,1990189.0,1737227399999.0,783236.82307,2227.0,1377552.0,542114.22703
2025-01-18 19:10:00+00:00,1737227400000.0,0.39373,0.39466,0.39349,0.39394,1964412.0,1737227459999.0,773997.48609,3669.0,1407883.0,554674.16804
2025-01-18 19:11:00+00:00,1737227460000.0,0.39394,0.39554,0.39386,0.39551,1992547.0,1737227519999.0,786815.00364,5326.0,1311299.0,517762.00964
2025-01-18 19:12:00+00:00,1737227520000.0,0.39551,0.39648,0.39273,0.39295,9436880.0,1737227579999.0,3721626.3388,9033.0,4196849.0,1654503.78777
2025-01-18 19:13:00+00:00,1737227580000.0,0.39294,0.39328,0.39254,0.39312,1015649.0,1737227639999.0,399051.98843,1577.0,462893.0,181890.49337
2025-01-18 19:14:00+00:00,1737227640000.0,0.39313,0.39357,0.39282,0.39317,782693.0,1737227699999.0,307753.7988,1997.0,367135.0,144366.83004
2025-01-18 19:15:00+00:00,1737227700000.0,0.39317,0.39428,0.39317,0.39396,900401.0,1737227759999.0,354579.12143,2574.0,487068.0,191799.19818
2025-01-18 19:16:00+00:00,1737227760000.0,0.39396,0.3954,0.39366,0.39496,1405477.0,1737227819999.0,554955.65995,3087.0,995355.0,392989.26173
2025-01-18 19:17:00+00:00,1737227820000.0,0.39497,0.39566,0.39463,0.39566,825973.0,1737227879999.0,326320.88432,2737.0,416364.0,164552.56964
2025-01-18 19:18:00+00:00,1737227880000.0,0.39566,0.39597,0.39533,0.39586,3703979.0,1737227939999.0,1465468.63856,3383.0,1380239.0,546138.76346
2025-01-18 19:19:00+00:00,1737227940000.0,0.39585,0.3962,0.39564,0.39611,1424045.0,1737227999999.0,563838.99677,2336.0,965480.0,382300.01462
2025-01-18 19:20:00+00:00,1737228000000.0,0.39611,0.39698,0.39538,0.39635,2641897.0,1737228059999.0,1046678.81594,5271.0,1249818.0,495179.77866
2025-01-18 19:21:00+00:00,1737228060000.0,0.39635,0.39696,0.39443,0.3947,5562028.0,1737228119999.0,2199381.05244,5525.0,1928595.0,762660.14488
2025-01-18 19:22:00+00:00,1737228120000.0,0.39471,0.39519,0.39468,0.39476,1554016.0,1737228179999.0,613761.79633,1985.0,709712.0,280289.34498
2025-01-18 19:23:00+00:00,1737228180000.0,0.39475,0.39516,0.39453,0.39502,1267281.0,1737228239999.0,500344.82701,1615.0,804763.0,317729.21574
2025-01-18 19:24:00+00:00,1737228240000.0,0.39501,0.39506,0.39456,0.39467,685164.0,1737228299999.0,270569.4591,1677.0,256890.0,101444.19107
2025-01-18 19:25:00+00:00,1737228300000.0,0.39467,0.39517,0.39451,0.39495,534349.0,1737228359999.0,211014.64965,1219.0,263872.0,104194.17331
2025-01-18 19:26:00+00:00,1737228360000.0,0.39495,0.39518,0.39475,0.39484,425264.0,1737228419999.0,168000.40165,938.0,209887.0,82919.55712
2025-01-18 19:27:00+00:00,1737228420000.0,0.39483,0.39519,0.39477,0.395,599318.0,1737228479999.0,236749.09987,722.0,334669.0,132203.06319
2025-01-18 19:28:00+00:00,1737228480000.0,0.39499,0.39518,0.3948,0.39485,1093512.0,1737228539999.0,431926.0592,975.0,428011.0,169086.41002
2025-01-18 19:29:00+00:00,1737228540000.0,0.39486,0.3952,0.39431,0.39448,680663.0,1737228599999.0,268762.72566,1338.0,340554.0,134456.96051
2025-01-18 19:30:00+00:00,1737228600000.0,0.39448,0.39518,0.39448,0.39507,670674.0,1737228659999.0,264910.31734,1364.0,287654.0,113622.04167
2025-01-18 19:31:00+00:00,1737228660000.0,0.39506,0.39522,0.39479,0.39508,1066747.0,1737228719999.0,421433.77956,1822.0,538418.0,212694.48529
2025-01-18 19:32:00+00:00,1737228720000.0,0.39508,0.39524,0.39479,0.39511,629771.0,1737228779999.0,248798.57016,1052.0,318594.0,125850.60656
2025-01-18 19:33:00+00:00,1737228780000.0,0.39511,0.39526,0.39453,0.39497,1437721.0,1737228839999.0,567781.83375,2266.0,954529.0,376942.93301
2025-01-18 19:34:00+00:00,1737228840000.0,0.39498,0.39563,0.39465,0.39465,512964.0,1737228899999.0,202743.81966,1563.0,269091.0,106349.75428
2025-01-18 19:35:00+00:00,1737228900000.0,0.39466,0.39492,0.394,0.39407,687302.0,1737228959999.0,271153.21196,2677.0,325279.0,128321.84772
2025-01-18 19:36:00+00:00,1737228960000.0,0.39407,0.39517,0.39407,0.39513,430725.0,1737229019999.0,170059.93921,1796.0,365063.0,144126.42006
2025-01-18 19:37:00+00:00,1737229020000.0,0.39513,0.39577,0.39513,0.39547,336687.0,1737229079999.0,133161.09643,1283.0,229322.0,90691.5485
2025-01-18 19:38:00+00:00,1737229080000.0,0.39548,0.3959,0.39509,0.39542,1460898.0,1737229139999.0,577586.9532,1759.0,778045.0,307557.81029
2025-01-18 19:39:00+00:00,1737229140000.0,0.39541,0.3958,0.3953,0.3958,116328.0,1737229199999.0,46009.13603,883.0,56221.0,22233.92996
2025-01-18 19:40:00+00:00,1737229200000.0,0.39579,0.39611,0.3955,0.39589,1958432.0,1737229259999.0,775501.85859,1571.0,385572.0,152649.38502
2025-01-18 19:41:00+00:00,1737229260000.0,0.39589,0.39607,0.39543,0.39567,1405656.0,1737229319999.0,556391.29238,1760.0,1038044.0,410875.10099
2025-01-18 19:42:00+00:00,1737229320000.0,0.39568,0.39607,0.39561,0.39606,545039.0,1737229379999.0,215754.02005,1226.0,436912.0,172952.52289
2025-01-18 19:43:00+00:00,1737229380000.0,0.39607,0.3966,0.39605,0.3965,2336670.0,1737229439999.0,926232.02974,1546.0,1769934.0,701618.00181
2025-01-18 19:44:00+00:00,1737229440000.0,0.3965,0.39669,0.396,0.39668,853526.0,1737229499999.0,338314.13986,1276.0,445465.0,176561.9112
2025-01-18 19:45:00+00:00,1737229500000.0,0.39669,0.39698,0.39641,0.39664,2723770.0,1737229559999.0,1080415.97126,2987.0,1899259.0,753313.37721
2025-01-18 19:46:00+00:00,1737229560000.0,0.39664,0.39782,0.39664,0.39781,2347774.0,1737229619999.0,932341.70618,4263.0,1470637.0,583889.19329
2025-01-18 19:47:00+00:00,1737229620000.0,0.39782,0.39824,0.39713,0.39713,1404593.0,1737229679999.0,558743.0187,2770.0,698770.0,278009.83185
2025-01-18 19:48:00+00:00,1737229680000.0,0.39713,0.3977,0.39692,0.3975,1262373.0,1737229739999.0,501527.13535,2525.0,789016.0,313501.14516
2025-01-18 19:49:00+00:00,1737229740000.0,0.39751,0.39752,0.39693,0.39709,374879.0,1737229799999.0,148908.4277,1113.0,289643.0,115052.26501
2025-01-18 19:50:00+00:00,1737229800000.0,0.3971,0.3971,0.3964,0.39687,986592.0,1737229859999.0,391241.20289,1375.0,772205.0,306215.55978
2025-01-18 19:51:00+00:00,1737229860000.0,0.39686,0.39735,0.39677,0.39715,767016.0,1737229919999.0,304547.2542,1332.0,639387.0,253860.93741
2025-01-18 19:52:00+00:00,1737229920000.0,0.39715,0.3975,0.39708,0.39715,498897.0,1737229979999.0,198184.6946,991.0,387732.0,154022.80107
2025-01-18 19:53:00+00:00,1737229980000.0,0.39715,0.39769,0.39706,0.39744,1718410.0,1737230039999.0,682870.28841,1460.0,922620.0,366610.82333
2025-01-18 19:54:00+00:00,1737230040000.0,0.39743,0.39778,0.39701,0.39775,1508563.0,1737230099999.0,599697.82872,1148.0,843810.0,335363.08722
2025-01-18 19:55:00+00:00,1737230100000.0,0.39776,0.39789,0.39511,0.3956,4148566.0,1737230159999.0,1643397.19767,4297.0,1144316.0,453193.33621
