timestamp,Open,High,Low,Close
2024-01-11 17:30:00,99.0,101.253,99.0,100.389
2024-01-11 18:30:00,100.39,101.3,100.1,100.6
2024-01-11 19:30:00,100.626,102.699,100.202,101.457
2024-01-11 20:30:00,101.445,101.445,99.63,100.3
2024-01-11 21:30:00,100.3,100.5,99.4,99.934
2024-01-11 22:30:00,99.22,100.679,98.401,100.0
2024-01-11 23:30:00,100.02,100.12,99.011,99.209
2024-01-12 00:30:00,99.2,100.121,97.777,97.8
2024-01-12 01:30:00,97.612,99.085,97.612,98.501
2024-01-12 02:30:00,99.303,99.5,98.3,98.55
2024-01-12 03:30:00,98.55,99.453,97.903,98.3
2024-01-12 04:30:00,98.959,99.0,97.618,98.99
2024-01-12 05:30:00,98.803,100.48,98.803,100.279
2024-01-12 06:30:00,100.0,100.279,98.54,99.003
2024-01-12 07:30:00,99.1,99.111,98.106,98.188
2024-01-12 08:30:00,98.175,98.644,97.9,98.0
2024-01-12 09:30:00,98.0,99.0,97.5,98.018
2024-01-12 10:30:00,98.151,98.77,98.01,98.77
2024-01-12 11:30:00,98.77,99.123,98.0,99.0
2024-01-12 12:30:00,98.89,99.12,97.0,98.1
2024-01-12 13:30:00,98.1,98.796,97.9,98.501
2024-01-12 14:30:00,98.505,98.693,95.4,96.68
2024-01-12 15:30:00,96.7,96.8,95.0,96.5
2024-01-12 16:30:00,96.599,96.599,93.0,93.251
2024-01-12 17:30:00,93.534,96.321,93.35,95.35
2024-01-12 18:30:00,95.2,95.625,94.215,95.61
2024-01-12 19:30:00,95.768,95.812,94.438,95.8
2024-01-12 20:30:00,95.8,95.88,93.5,94.009
2024-01-12 21:30:00,94.243,94.243,88.2,88.4
2024-01-12 22:30:00,88.201,91.685,88.201,91.663
2024-01-12 23:30:00,91.663,92.989,91.4,91.9
2024-01-13 00:30:00,91.885,92.0,89.5,90.998
2024-01-13 01:30:00,91.0,92.0,90.788,91.522
2024-01-13 02:30:00,91.53,91.53,89.787,90.879
2024-01-13 03:30:00,90.531,91.6,90.53,91.6
2024-01-13 04:30:00,91.6,92.5,91.5,92.499
2024-01-13 05:30:00,92.599,93.2,92.0,93.2
2024-01-13 06:30:00,93.0,93.48,92.11,93.479
2024-01-13 07:30:00,93.479,93.5,92.5,92.988
2024-01-13 08:30:00,92.907,93.199,92.363,92.496
2024-01-13 09:30:00,92.52,92.786,91.6,92.0
2024-01-13 10:30:00,91.78,92.1,91.3,92.0
2024-01-13 11:30:00,92.0,92.68,91.404,92.1
2024-01-13 12:30:00,92.2,92.49,92.0,92.301
2024-01-13 13:30:00,92.5,92.5,91.01,91.416
2024-01-13 14:30:00,91.2,92.626,91.105,92.626
2024-01-13 15:30:00,92.626,93.2,92.006,92.765
2024-01-13 16:30:00,92.71,93.1,91.621,92.5
2024-01-13 17:30:00,92.264,92.974,91.76,92.775
2024-01-13 18:30:00,92.5,94.49,92.008,94.48
2024-01-13 19:30:00,94.21,96.303,94.126,95.057
2024-01-13 20:30:00,95.1,96.96,95.1,96.499
2024-01-13 21:30:00,96.268,96.776,95.283,95.412
2024-01-13 22:30:00,95.318,96.471,95.0,95.919
2024-01-13 23:30:00,95.4,95.888,95.29,95.3
2024-01-14 00:30:00,95.2,95.2,94.355,95.0
2024-01-14 01:30:00,95.299,96.65,94.9,94.9
2024-01-14 02:30:00,94.9,96.0,94.427,95.824
2024-01-14 03:30:00,95.7,96.777,95.559,96.233
2024-01-14 04:30:00,96.233,97.5,95.526,97.5
2024-01-14 05:30:00,97.5,98.55,97.0,98.179
2024-01-14 06:30:00,98.5,98.529,97.501,97.511
2024-01-14 07:30:00,97.582,98.4,96.581,97.001
2024-01-14 08:30:00,97.3,97.731,97.001,97.154
2024-01-14 09:30:00,97.17,98.1,96.8,97.14
2024-01-14 10:30:00,97.2,97.393,96.801,97.0
2024-01-14 11:30:00,97.0,97.362,96.012,96.8
2024-01-14 12:30:00,97.0,97.0,96.0,96.0
2024-01-14 13:30:00,96.591,98.29,96.007,97.772
2024-01-14 14:30:00,97.9,99.631,97.2,99.157
2024-01-14 15:30:00,99.38,102.497,98.904,101.899
2024-01-14 16:30:00,101.711,102.0,99.14,100.421
2024-01-14 17:30:00,100.42,101.159,98.35,98.506
2024-01-14 18:30:00,98.507,99.5,97.0,98.18
2024-01-14 19:30:00,98.01,98.4,95.4,96.6
2024-01-14 20:30:00,96.6,97.001,95.0,95.95
2024-01-14 21:30:00,95.7,97.74,95.01,97.0
2024-01-14 22:30:00,97.24,97.24,94.501,94.878
2024-01-14 23:30:00,95.071,95.55,93.724,95.334
2024-01-15 00:30:00,95.577,96.443,94.954,95.948
2024-01-15 01:30:00,95.632,96.444,95.455,95.455
2024-01-15 02:30:00,95.806,97.445,95.806,97.0
2024-01-15 03:30:00,96.6,97.23,95.4,96.616
2024-01-15 04:30:00,96.663,97.392,95.385,96.616
2024-01-15 05:30:00,96.001,96.455,95.027,95.622
2024-01-15 06:30:00,95.622,95.844,95.027,95.511
2024-01-15 07:30:00,95.395,95.859,94.978,95.101
2024-01-15 08:30:00,95.544,96.75,94.453,95.0
2024-01-15 09:30:00,95.0,96.499,94.51,95.761
2024-01-15 10:30:00,95.76,96.348,94.997,95.196
2024-01-15 11:30:00,95.775,95.775,94.996,95.396
2024-01-15 12:30:00,95.383,96.0,94.79,96.0
2024-01-15 13:30:00,95.1,95.828,94.319,94.8
2024-01-15 14:30:00,94.8,94.8,93.4,94.052
2024-01-15 15:30:00,94.129,94.449,93.245,94.104
2024-01-15 16:30:00,93.815,95.392,93.5,95.346
2024-01-15 17:30:00,95.398,96.56,94.966,96.56
2024-01-15 18:30:00,96.56,97.0,95.5,96.101
2024-01-15 19:30:00,96.1,96.499,95.551,96.09
2024-01-15 20:30:00,95.5,96.111,94.514,94.749
2024-01-15 21:30:00,94.749,94.998,93.9,94.932
2024-01-15 22:30:00,94.931,95.0,94.001,94.06
2024-01-15 23:30:00,94.419,94.99,94.419,94.99
2024-01-16 00:30:00,94.623,96.0,94.623,95.795
2024-01-16 01:30:00,95.634,96.0,94.748,95.208
2024-01-16 02:30:00,95.9,96.0,95.591,96.0
2024-01-16 03:30:00,95.668,96.111,95.402,95.455
2024-01-16 04:30:00,95.557,96.11,95.083,95.868
2024-01-16 05:30:00,95.901,96.499,95.022,95.024
2024-01-16 06:30:00,95.112,96.299,95.112,96.298
2024-01-16 07:30:00,96.4,98.822,96.4,97.678
2024-01-16 08:30:00,97.597,97.9,97.009,97.895
2024-01-16 09:30:00,97.777,98.0,96.505,96.9
2024-01-16 10:30:00,96.506,97.267,96.505,96.799
2024-01-16 11:30:00,96.912,97.6,96.4,97.285
2024-01-16 12:30:00,97.3,97.3,96.601,96.78
2024-01-16 13:30:00,96.601,96.779,95.7,95.7
2024-01-16 14:30:00,96.199,97.1,94.501,96.999
2024-01-16 15:30:00,97.0,97.798,96.999,97.117
2024-01-16 16:30:00,97.0,97.625,96.234,96.677
2024-01-16 17:30:00,96.571,97.0,96.402,96.416
2024-01-16 18:30:00,96.417,97.0,96.0,96.934
2024-01-16 19:30:00,96.429,97.33,96.009,96.85
2024-01-16 20:30:00,96.811,97.637,96.776,97.637
2024-01-16 21:30:00,97.704,98.5,97.143,98.349
2024-01-16 22:30:00,98.375,98.555,97.424,98.0
2024-01-16 23:30:00,97.556,97.997,97.11,97.6
2024-01-17 00:30:00,97.6,99.9,97.6,99.7
2024-01-17 01:30:00,99.95,100.5,98.502,99.18
2024-01-17 02:30:00,99.175,100.9,99.162,100.0
2024-01-17 03:30:00,99.502,100.1,98.549,98.599
2024-01-17 04:30:00,98.581,99.501,98.503,98.6
2024-01-17 05:30:00,99.4,99.4,97.57,98.011
2024-01-17 06:30:00,98.2,98.65,98.0,98.003
2024-01-17 07:30:00,98.02,98.189,96.775,97.44
2024-01-17 08:30:00,97.275,98.7,97.275,98.02
2024-01-17 09:30:00,98.02,99.99,98.02,99.87
2024-01-17 10:30:00,100.0,102.0,99.999,102.0
2024-01-17 11:30:00,102.0,102.32,100.732,101.0
2024-01-17 12:30:00,101.0,102.3,100.8,101.818
2024-01-17 13:30:00,101.001,101.868,100.2,100.749
2024-01-17 14:30:00,100.785,102.2,99.9,100.601
2024-01-17 15:30:00,100.6,100.705,98.45,98.899
2024-01-17 16:30:00,98.899,99.34,97.801,98.999
2024-01-17 17:30:00,99.0,99.895,98.426,98.426
2024-01-17 18:30:00,99.449,100.7,98.749,100.7
2024-01-17 19:30:00,100.66,101.0,99.884,100.8
2024-01-17 20:30:00,100.923,101.9,100.8,100.914
2024-01-17 21:30:00,100.838,102.0,99.418,100.7
2024-01-17 22:30:00,100.49,101.485,99.924,101.109
2024-01-17 23:30:00,100.907,102.9,100.907,101.722
2024-01-18 00:30:00,100.852,101.01,100.01,100.2
2024-01-18 01:30:00,100.028,100.728,99.4,100.728
2024-01-18 02:30:00,100.6,101.055,100.001,100.001
2024-01-18 03:30:00,100.001,100.36,99.501,99.9
2024-01-18 04:30:00,99.901,100.999,99.9,100.83
2024-01-18 05:30:00,100.897,101.3,100.068,101.155
2024-01-18 06:30:00,101.0,101.68,100.1,100.26
2024-01-18 07:30:00,100.26,101.1,100.26,100.75
2024-01-18 08:30:00,100.8,100.999,100.21,100.598
2024-01-18 09:30:00,100.832,100.832,99.558,100.002
2024-01-18 10:30:00,100.002,100.002,98.5,98.752
2024-01-18 11:30:00,98.75,99.237,98.0,98.003
2024-01-18 12:30:00,98.501,99.369,98.101,98.202
2024-01-18 13:30:00,98.101,99.36,98.0,99.36
2024-01-18 14:30:00,99.36,99.5,98.201,98.501
2024-01-18 15:30:00,98.053,99.217,97.011,97.5
2024-01-18 16:30:00,97.4,97.55,94.557,96.49
2024-01-18 17:30:00,96.49,96.558,94.0,95.316
2024-01-18 18:30:00,95.2,95.78,94.0,94.6
2024-01-18 19:30:00,94.175,94.599,92.0,92.5
2024-01-18 20:30:00,92.8,94.88,92.6,94.5
2024-01-18 21:30:00,94.5,94.5,93.5,94.101
2024-01-18 22:30:00,94.2,95.0,94.087,94.8
2024-01-18 23:30:00,94.9,94.9,93.89,94.0
2024-01-19 00:30:00,94.558,94.88,93.4,93.5
2024-01-19 01:30:00,93.3,93.923,93.0,93.0
2024-01-19 02:30:00,93.0,93.439,92.0,92.0
2024-01-19 03:30:00,92.502,93.444,91.91,93.444
2024-01-19 04:30:00,93.401,94.409,93.401,94.063
2024-01-19 05:30:00,94.24,94.994,93.847,94.505
2024-01-19 06:30:00,94.992,95.442,94.505,94.805
2024-01-19 07:30:00,94.9,94.9,93.952,94.3
2024-01-19 08:30:00,94.3,94.993,94.001,94.39
2024-01-19 09:30:00,94.39,95.315,94.16,95.0
2024-01-19 10:30:00,94.939,95.442,94.8,95.256
2024-01-19 11:30:00,95.2,95.222,94.2,94.203
2024-01-19 12:30:00,94.49,94.6,93.8,94.42
2024-01-19 13:30:00,94.42,94.53,93.0,93.01
2024-01-19 14:30:00,93.0,93.79,91.1,91.1
2024-01-19 15:30:00,91.1,91.998,88.23,89.002
2024-01-19 16:30:00,89.001,90.438,86.962,89.7
2024-01-19 17:30:00,90.0,92.5,89.563,92.5
2024-01-19 18:30:00,92.659,93.89,91.749,93.666
2024-01-19 19:30:00,93.666,95.5,93.4,93.7
2024-01-19 20:30:00,93.996,94.251,92.8,92.96
2024-01-19 21:30:00,92.961,93.999,92.96,93.091
