Price,Response,Value,BBU,BBL,SMA
0.7845,,10000,0.8192258736638559,0.781724126336144,0.8004749999999999
0.771,buy,10000,0.8184564550264379,0.777493544973562,0.797975
0.7651,,10000.0,0.819566276778279,0.7715937232217209,0.79558
0.7749,,9923.476005188066,0.8199107587855347,0.7687392412144652,0.794325
0.7631,,10050.583657587547,0.8209055948666311,0.7636144051333689,0.79226
0.769,,9897.535667963682,0.8213865396617734,0.7605334603382266,0.79096
0.7664,,9974.059662775615,0.8204875413958902,0.7575124586041097,0.7889999999999999
0.7789,,9940.337224383917,0.8193589085338654,0.7565810914661345,0.78797
0.7833,,10102.464332036316,0.8163671579005163,0.7569328420994839,0.7866500000000001
0.801,,10159.53307392996,0.8152533442053476,0.7574166557946524,0.786335
0.8086,,10389.105058365758,0.8166423978774568,0.7567976021225431,0.78672
0.817,,10487.678339818416,0.8207003357203089,0.7551496642796913,0.7879250000000001
0.8269,sell,10596.62775616083,0.8268533903289794,0.7525966096710206,0.789725
0.8309,,10725.032425421528,0.8322202705034025,0.7500097294965975,0.791115
0.8333,,10725.032425421528,0.8372417990614119,0.747658200938588,0.79245
0.8267,,10725.032425421528,0.8408654037970256,0.7464845962029747,0.7936750000000001
0.83,,10725.032425421528,0.8446813837160779,0.7452186162839219,0.7949499999999999
0.8359,,10725.032425421528,0.8499787328547629,0.7439812671452372,0.79698
0.8319,,10725.032425421528,0.8542044236771283,0.7441355763228715,0.7991699999999999
0.83,,10725.032425421528,0.857681030731292,0.7451589692687081,0.80142
0.82,,10725.032425421528,0.8594483919445143,0.7469416080554857,0.803195
0.8196,,10725.032425421528,0.8601962812461108,0.7510537187538893,0.805625
0.8201,,10725.032425421528,0.8598001986153829,0.7569498013846172,0.8083750000000001
0.85,,10725.032425421528,0.8642264328509107,0.7600335671490893,0.81213
0.8552,,10725.032425421528,0.8668268009889425,0.7666431990110577,0.8167350000000001
0.8681,,10725.032425421528,0.8715051065652302,0.7718748934347697,0.8216899999999999
0.8697,,10725.032425421528,0.8738751961087494,0.7798348038912504,0.8268549999999999
0.865,,10725.032425421528,0.8753759009264409,0.7869440990735591,0.83116
0.8648,,10725.032425421528,0.8757460134472873,0.7947239865527126,0.835235
0.855,,10725.032425421528,0.8759606021786984,0.7999093978213018,0.8379350000000001
0.8629,,10725.032425421528,0.8775952795930756,0.8037047204069242,0.8406499999999999
0.8575,,10725.032425421528,0.8785875179758873,0.8067624820241128,0.8426750000000001
0.8553,,10725.032425421528,0.8796250599196617,0.8085649400803384,0.844095
0.8551,,10725.032425421528,0.8805904510050754,0.8100195489949246,0.845305
0.86,,10725.032425421528,0.8820332137414415,0.8112467862585586,0.8466400000000001
0.86,,10725.032425421528,0.8828720043462505,0.8137379956537497,0.8483050000000001
0.8646,,10725.032425421528,0.8842056722512929,0.8158643277487073,0.8500350000000001
0.856,,10725.032425421528,0.8846377693495142,0.8174422306504858,0.85104
0.8539,,10725.032425421528,0.8845176661165979,0.8197623338834021,0.85214
0.856,,10725.032425421528,0.8841179811316814,0.822762018868319,0.8534400000000002
0.858,,10725.032425421528,0.8817009280245554,0.8289790719754446,0.85534
0.8613,,10725.032425421528,0.8778004108773553,0.8370495891226445,0.8574249999999999
0.8648,,10725.032425421528,0.8702562058750939,0.8490637941249063,0.8596600000000001
0.8678,,10725.032425421528,0.8707111230212329,0.850388876978767,0.8605499999999999
0.8781,,10725.032425421528,0.8742068007454856,0.8491831992545141,0.8616949999999999
0.8769,,10725.032425421528,0.8761266177914157,0.8481433822085845,0.8621350000000001
0.889,,10725.032425421528,0.8813137021873209,0.8448862978126789,0.8630999999999999
0.883,,10725.032425421528,0.8842716291246763,0.8437283708753239,0.8640000000000001
0.889,,10725.032425421528,0.8883663927742596,0.8420536072257405,0.86521
0.889,,10725.032425421528,0.8918349737369868,0.8419850262630133,0.8669100000000001
0.891,,10725.032425421528,0.8953655394439839,0.841264460556016,0.868315
0.8865,,10725.032425421528,0.8974755547058381,0.8420544452941617,0.8697649999999999
0.8769,,10725.032425421528,0.8978566914258291,0.843833308574171,0.8708450000000001
0.881,,10725.032425421528,0.8984476054642597,0.8458323945357401,0.8721399999999999
0.8803,,10725.032425421528,0.8990537075475127,0.8472562924524873,0.873155
0.888,,10725.032425421528,0.9004866896155224,0.8486233103844776,0.874555
0.8949,,10725.032425421528,0.9030712163468708,0.8490687836531292,0.87607
0.88,,10725.032425421528,0.9025969234734812,0.8519430765265186,0.8772699999999999
0.882,,10725.032425421528,0.9015413738408953,0.8558086261591047,0.878675
0.882,,10725.032425421528,0.9002194924284166,0.8597305075715833,0.879975
0.8897,,10725.032425421528,0.8993787837023623,0.8637412162976377,0.88156
0.895,,10725.032425421528,0.8992814683078748,0.8672085316921251,0.883245
0.8822,,10725.032425421528,0.8976274542941921,0.8706025457058081,0.8841150000000001
0.8706,buy,10725.032425421528,0.8970971141069859,0.8714128858930144,0.8842550000000001
0.8771,,10725.032425421528,0.8971553464696591,0.8712546535303409,0.884205
0.8773,,10805.106754350129,0.8971289977485559,0.8713210022514442,0.884225
0.8803,,10807.570579855625,0.8966024774710971,0.870977522528903,0.8837900000000001
0.8807,,10844.527962438055,0.896558424683637,0.870791575316363,0.883675
0.878,,10849.455613449047,0.895990437174236,0.8702595628257641,0.883125
0.88,,10816.193969124859,0.8953026013474246,0.8700473986525756,0.8826750000000001
0.8909,,10840.832224179812,0.8952837936194344,0.8700562063805657,0.8826700000000001
0.8776,,10975.110714229313,0.8948977017017308,0.8695522982982689,0.8822249999999998
0.8871,,10811.266318113869,0.8953261037934267,0.8701438962065734,0.882735
0.8864,,10928.298029624899,0.8956708222248531,0.870339177775147,0.883005
0.887,,10919.674640355664,0.8960588877368723,0.870621112263128,0.8833400000000001
0.8867,,10927.066116872153,0.8959066019736632,0.8706433980263366,0.8832749999999999
0.8867,,10923.370378613909,0.8943918610781856,0.8713381389218144,0.882865
0.8875,,10923.370378613909,0.8948620117834537,0.8716179882165463,0.88324
0.8852,,10933.22568063589,0.8950382310104513,0.8717617689895486,0.8834
0.8856,,10904.891687322694,0.8952384010820298,0.87192159891797,0.8835799999999999
0.8877,,10909.819338333684,0.8949501626657579,0.872009837334242,0.8834799999999999
0.8869,,10935.689506141387,0.893341322049354,0.8728086779506461,0.883075
0.889,,10925.834204119405,0.8940046225269438,0.8728253774730561,0.883415
0.8826,,10951.704371927106,0.8927437245104282,0.8752862754895718,0.884015
0.8888,,10872.861955751254,0.8929368553960553,0.8762631446039448,0.8846
0.8885,,10949.240546421612,0.8929166677598596,0.8774033322401408,0.8851600000000002
0.8914,,10945.544808163368,0.8935949612609254,0.8778350387390746,0.885715
0.8917,,10981.270277993051,0.8942064369639651,0.8783235630360351,0.8862650000000001
0.895,sell,10984.966016251296,0.8949703434713341,0.8792596565286659,0.887115
