gen,evals,dataset_i,avg,std,min,max
317,98,0,[  2.5221152  880.45074069],[1.46132565e+00 2.82001407e+03],[2.32885780e-04 9.24889298e+00],[6.31774023e+00 1.71947459e+04]
318,97,0,[   2.48467929 1182.82771769],[1.53855213e+00 3.46021309e+03],[7.81135613e-03 9.24889298e+00],[6.31774023e+00 1.71947459e+04]
319,95,0,[   2.56180364 1061.08742858],[1.36622294e+00 4.24104910e+03],[5.94424368e-03 1.23884971e+01],[6.31774023e+00 3.31254033e+04]
320,99,0,[   2.63258532 1325.29310615],[1.47562234e+00 4.62587077e+03],[5.94424368e-03 1.23884971e+01],[6.31774023e+00 3.31254033e+04]
321,96,1,[  1.98382402 445.59206201],[  0.60510394 387.42552329],[ 0.83774268 10.68128341],[   5.07405637 1568.5959737 ]
322,97,1,[  1.8728531  611.17616342],[  0.66566103 456.62984075],[0.74437431 7.68576661],[   5.07405637 1917.03518821]
323,95,1,[  1.8455964  719.67145132],[  0.68478518 549.02030961],[0.29113713 7.68576661],[   5.07405637 2904.6430707 ]
324,99,1,[  1.82479268 803.17744844],[  0.80210958 605.2975725 ],[ 0.29113713 10.68128341],[   5.1900123 2904.6430707]
325,92,1,[  1.84536449 786.63348281],[  0.70821176 602.00471286],[ 0.29113713 11.23390144],[   5.1900123 2904.6430707]
326,97,1,[  1.82852707 862.97657336],[  0.80774206 612.84642801],[ 0.29113713 11.23390144],[   5.1900123 2904.6430707]
327,95,1,[  1.96143973 788.36217745],[  0.93487989 617.07739563],[ 0.29113713 11.23390144],[   5.1900123 2904.6430707]
328,89,1,[  2.04134134 785.42209305],[  1.00124459 699.82220539],[ 0.29113713 11.23390144],[   5.1900123 2904.6430707]
329,95,2,[  1.29949478 260.00603895],[  0.69456195 178.06870818],[0.35466019 8.54474772],[  2.84968349 778.76192694]
330,96,2,[  1.55506926 274.36198837],[  0.79177608 182.14355315],[0.35466019 5.28139492],[  3.01914309 778.76192694]
331,99,2,[  1.5596562  340.23075647],[  0.85927989 202.39118653],[0.08194939 5.02196083],[  3.38996944 842.09001356]
332,95,2,[  1.57434299 373.61536464],[  0.88832596 285.12357448],[0.08019535 5.02196083],[   3.38996944 2220.05410715]
333,93,2,[  1.5724993  435.42947249],[  0.97930701 407.21514921],[0.0780511  5.02196083],[   4.03162218 2400.65339276]
334,94,2,[  1.59816836 432.23532606],[  0.95199146 403.81919313],[0.0780511  5.02196083],[   4.03162218 2400.65339276]
335,98,2,[  1.59907764 464.53419095],[  1.00957798 448.03736662],[0.0780511  6.34628281],[   4.33983201 2400.65339276]
336,95,2,[  1.61804553 460.45315445],[  0.97338719 447.38920761],[0.0780511  7.42619901],[   4.33983201 2400.65339276]
337,93,0,[  2.26742639 247.491964  ],[  1.03681489 924.14163773],[0.03541883 3.83557214],[4.68631642e+00 9.35501581e+03]
338,100,0,[  2.03833418 593.73736111],[1.09486703e+00 1.98269552e+03],[1.04042241e-04 4.39012875e+00],[5.00100905e+00 1.26646508e+04]
339,92,0,[  2.03083439 970.88208747],[1.14639039e+00 2.69414410e+03],[1.04042241e-04 2.32307902e+00],[5.81173486e+00 1.26646508e+04]
340,99,0,[   2.04352744 1450.01866315],[1.35138248e+00 3.28898623e+03],[1.04042241e-04 2.32307902e+00],[5.81173486e+00 1.26646508e+04]
341,99,0,[   2.29246474 1107.83751266],[1.39884028e+00 3.11461248e+03],[9.25310925e-05 2.32307902e+00],[6.47910529e+00 1.26646508e+04]
342,98,0,[   2.23129625 1699.65836722],[1.56373082e+00 3.89010258e+03],[9.25310925e-05 3.71552279e+00],[6.47910529e+00 1.26646508e+04]
343,96,0,[   2.36931725 1854.65333788],[1.65470373e+00 4.99053114e+03],[1.04042241e-04 3.71552279e+00],[6.47910529e+00 3.71682940e+04]
344,96,0,[   2.43492004 1700.58777478],[1.62413759e+00 5.32093579e+03],[1.91875798e-03 4.09119300e+00],[6.9700592e+00 3.7168294e+04]
345,95,1,[  1.85679953 641.70304321],[  1.17295679 572.33411137],[0.2305297  5.37723021],[   6.04910988 1734.84002819]
346,96,1,[  1.93750929 786.55328663],[  1.2298514  640.74177306],[0.33156871 5.37723021],[   6.04910988 2858.75386244]
347,96,1,[  2.08535742 799.16928857],[  1.4072995  717.64831632],[0.33156871 4.73920264],[   6.04910988 2858.75386244]
348,97,1,[  2.17967154 864.48772861],[  1.5423155  797.39216052],[0.30454289 4.73920264],[   6.04910988 3208.55029916]
349,94,1,[   2.16613079 1012.50951282],[  1.56739821 951.85910934],[0.27805095 4.9278219 ],[   6.04910988 3597.46353242]
350,90,1,[  2.20804158 953.62079092],[  1.58097923 842.76148132],[0.27805095 4.9278219 ],[   6.04910988 3597.46353242]
351,95,1,[  2.42636431 845.31664234],[  1.5989166  937.03928733],[0.27805095 5.67202964],[   6.25656229 3597.46353242]
352,93,1,[  2.41123951 870.30630569],[  1.60452643 915.61307395],[0.27805095 5.85005756],[   6.25656229 3597.46353242]
353,97,2,[  1.48203936 347.60153642],[  1.23928761 231.17419285],[0.08194939 7.73219358],[   5.50993978 1017.50517689]
354,97,2,[  1.8843913 385.1105949],[  1.5296762  347.81942023],[0.08194939 3.93049262],[   6.37256683 1594.73412654]
355,97,2,[  1.87315465 400.62083017],[  1.55164087 347.6775057 ],[0.08540734 3.93049262],[   6.37256683 1594.73412654]
356,98,2,[  2.00186559 415.3327787 ],[  1.65901201 376.31214104],[0.08540734 6.91166131],[   6.89790949 1594.73412654]
357,96,2,[  2.07464071 432.73431253],[  1.70119343 411.9339246 ],[0.08540734 8.04307712],[   6.94934137 1594.73412654]
358,97,2,[  1.97835868 454.89128908],[  1.59125458 421.28900078],[0.08540734 9.35787179],[   7.08771994 1594.73412654]
359,96,2,[  1.99935131 459.38746139],[  1.58538422 432.85076835],[0.08540734 9.35787179],[   7.08771994 1599.56307483]
360,98,2,[  2.09793859 485.25652003],[  1.71528457 462.92561509],[0.49276515 9.35787179],[   7.16324739 1600.78990252]
361,99,0,[  2.94165377 174.48394349],[  1.5565943  743.81084383],[4.56930402e-04 4.66907624e+00],[7.25441079e+00 7.53838240e+03]
362,97,0,[  3.09488215 514.55361922],[1.76528936e+00 2.00973897e+03],[1.04055676e-03 4.67269077e+00],[7.25441079e+00 1.54834265e+04]
363,96,0,[   3.29390605 1298.18146389],[1.92343695e+00 5.12729800e+03],[4.07597729e-03 4.83978493e+00],[7.26016918e+00 3.39669291e+04]
364,95,0,[   3.08608152 2084.09262137],[1.91072042e+00 6.29191983e+03],[4.07597729e-03 4.88146816e+00],[7.41535628e+00 3.39669291e+04]
365,94,0,[2.92089901e+00 3.11317504e+03],[2.11283148e+00 7.44102979e+03],[4.07597729e-03 5.27280195e+00],[7.57472113e+00 3.39669291e+04]
366,99,0,[2.46558339e+00 4.49940833e+03],[2.06238454e+00 8.56549865e+03],[4.07597729e-03 5.27280195e+00],[7.57472113e+00 3.39669291e+04]
367,86,0,[2.17507042e+00 4.26760593e+03],[1.74054231e+00 8.26870229e+03],[1.52766533e-03 1.23826694e+01],[7.57752543e+00 3.50121454e+04]
368,93,0,[2.38643516e+00 3.15657596e+03],[1.64750569e+00 7.64065933e+03],[4.01082073e-03 1.23826694e+01],[7.57752543e+00 3.55467773e+04]
369,95,1,[  1.14494247 294.45365248],[  0.91483439 548.84817533],[-7.27092071e-02 -1.00000000e+02],[2.89324760e+00 3.24624093e+03]
370,98,1,[  1.73301957 443.10372617],[  0.75002515 577.32721831],[ 0.19037821 17.07512541],[3.14598962e+00 3.24624093e+03]
371,93,1,[  1.81280272 655.06389854],[  0.84614258 735.41709198],[0.19037821 8.88679195],[   4.48130471 3246.24092982]
372,94,1,[  1.89852332 775.96872762],[  0.93315493 885.60513355],[0.30533056 8.88679195],[   5.30518977 3246.24092982]
373,97,1,[  1.86148663 901.1438756 ],[9.19410072e-01 9.79414296e+02],[0.28776303 8.88679195],[   5.30518977 3246.24092982]
374,95,1,[  1.96136169 946.86075697],[   1.04118417 1011.38422778],[0.28776303 8.88679195],[   5.30518977 3246.24092982]
375,99,1,[   1.87632379 1232.99675768],[1.12398876e+00 1.12920765e+03],[ 0.28776303 10.74183248],[   5.30518977 3371.16888167]
376,98,1,[   1.93480143 1242.2627699 ],[   1.19036313 1138.96972026],[ 0.28776303 11.4425912 ],[   5.30518977 3371.16888167]
377,100,2,[  1.47095797 327.33158299],[  0.96021716 292.74115792],[0.42591116 6.03247715],[   4.03652095 1430.24266618]
378,99,2,[  1.54964425 377.67270924],[  1.09987729 342.58697474],[0.42591116 6.3193516 ],[   4.66478506 1430.24266618]
379,98,2,[  1.40263834 494.68263143],[  1.08875621 411.41871789],[ 0.26419204 19.94860889],[   4.66478506 1566.30804713]
380,96,2,[  1.53369091 566.49700395],[  1.19097184 583.55700584],[ 0.26419204 21.2833204 ],[   4.66478506 4174.58993139]
381,100,2,[  1.42095952 719.39271093],[  1.15548043 726.59840849],[ 0.26419204 24.21850752],[   4.84365515 4174.58993139]
382,89,2,[  1.38493175 760.20846732],[  1.1215744 769.5696403],[ 0.26419204 40.72492369],[   4.84365515 4174.58993139]
383,91,2,[  1.49231118 849.65300552],[   1.13085073 1091.08973713],[ 0.47141207 46.58233795],[4.89415799e+00 5.15206667e+03]
384,92,2,[  1.46928713 998.90019524],[1.14123303e+00 1.25556838e+03],[ 0.47141207 46.58233795],[4.89415799e+00 5.15206667e+03]
385,92,0,[  2.41160349 165.0743508 ],[  0.92948536 321.80141646],[1.13609211e-02 2.05450928e+01],[   4.88792136 3237.02260083]
386,99,0,[  2.53907695 739.4866069 ],[1.29386826e+00 2.92805854e+03],[1.41341963e-04 5.68258163e+00],[6.59282670e+00 2.45478646e+04]
387,99,0,[  2.88215687 765.75584393],[1.56791007e+00 3.06857731e+03],[1.41341963e-04 4.83107476e+00],[7.07223681e+00 2.45478646e+04]
388,96,0,[   2.86292573 1240.80805952],[1.59651790e+00 4.86266915e+03],[1.41341963e-04 5.74547141e+00],[7.27890064e+00 3.75303303e+04]
389,95,0,[   3.00155263 1614.05320333],[1.80927888e+00 6.05540816e+03],[1.41341963e-04 5.74547141e+00],[7.33546286e+00 3.75303303e+04]
390,98,0,[   2.84143695 1960.07895203],[1.80440544e+00 6.75904351e+03],[0.00375042 1.91668736],[7.33546286e+00 3.75303303e+04]
391,95,0,[   2.85037836 1675.91984389],[1.70327360e+00 6.62284393e+03],[0.01047586 1.98129019],[7.49755554e+00 3.75303303e+04]
392,99,0,[   2.82619067 2536.04741855],[1.87992097e+00 8.33662784e+03],[0.01047586 1.98129019],[7.49755554e+00 3.75303303e+04]
393,95,1,[  1.99189447 349.07513181],[  0.76994736 421.6292183 ],[0.00275816 2.06008393],[   4.79572439 2514.11015543]
394,98,1,[  2.10699662 421.20910242],[  0.78943996 465.0755497 ],[0.87265633 1.60394246],[   5.01378953 2514.11015543]
395,98,1,[  2.13124962 558.90471155],[  0.93031281 568.83945556],[0.81929963 1.95068094],[   5.94405408 2514.11015543]
396,90,1,[  2.08899849 670.55879463],[  0.92001746 697.42797453],[1.03137162 5.31231593],[   6.14515815 2822.17405265]
397,92,1,[  2.00397972 843.84262685],[  1.05168911 782.90951008],[1.01089019 5.31231593],[   6.14515815 3261.9869143 ]
398,98,1,[  2.03356945 907.9034854 ],[  1.18810767 848.36141219],[0.27889475 5.31231593],[   6.14515815 3548.91428166]
399,95,1,[  2.10949749 983.79553539],[  1.3200848  934.69494425],[0.27889475 5.31231593],[   6.14515815 3548.91428166]
400,100,1,[   1.98174774 1072.46623687],[  1.14375038 965.1267243 ],[0.27889475 6.03758733],[   6.39864563 3548.91428166]
401,95,2,[  1.23997482 329.88745961],[  0.85050896 213.36214747],[0.48085756 3.68031845],[  5.50953943 833.4653826 ]
402,98,2,[  1.45037051 344.838371  ],[  1.07841959 244.45208195],[0.07770861 3.66829674],[  5.50953943 890.75872681]
403,97,2,[  1.75362965 322.84296926],[  1.32163122 253.84642556],[0.35132746 3.68031845],[  5.82526754 890.75872681]
404,98,2,[  1.93861429 336.2665932 ],[  1.4852991  275.19834664],[0.51436859 3.68031845],[   5.82526754 1213.97687055]
405,91,2,[  2.16404494 344.96110653],[  1.59220908 318.14866843],[0.17620739 3.68031845],[   5.82526754 1215.1557208 ]
406,97,2,[  2.03153681 377.12439891],[  1.50397622 326.41436689],[0.30815992 4.09667948],[   6.1604019 1215.1557208]
407,94,2,[  1.99434021 391.43552427],[  1.46347972 339.68720053],[0.51436859 4.4248978 ],[   6.1604019 1215.1557208]
408,95,2,[  1.8046538  454.76936327],[  1.42492646 351.20267515],[0.51436859 4.66831909],[   7.29943367 1215.1557208 ]
409,97,0,[  2.87575715 267.39543156],[  1.43823892 869.200194  ],[2.59546068e-04 1.83193874e+00],[   7.09943156 4810.7709612 ]
410,98,0,[  2.95959828 366.69657167],[   1.51343961 1244.16954178],[2.59546068e-04 2.50681501e+00],[7.09943156e+00 9.23359635e+03]
411,98,0,[  2.88757006 480.45928244],[1.52928240e+00 1.68238429e+03],[0.0184728  3.76083365],[7.09943156e+00 9.35501581e+03]
412,98,0,[  2.98677636 808.47484409],[1.74720321e+00 2.55633367e+03],[0.01978358 3.89280447],[7.09943156e+00 1.31884264e+04]
413,97,0,[  3.23016296 528.44307091],[1.75785667e+00 2.08057667e+03],[0.03484976 3.92189961],[7.09943156e+00 1.31884264e+04]
414,96,0,[  3.3010257  760.13682784],[1.80705816e+00 2.62064952e+03],[0.03484976 3.92189961],[7.09943156e+00 1.31884264e+04]
415,96,0,[  3.35433875 865.32812083],[1.92382992e+00 2.79218626e+03],[0.03484976 3.92189961],[7.09943156e+00 1.31884264e+04]
416,93,0,[   3.44672528 1128.11750195],[2.10136429e+00 3.27910278e+03],[0.03484976 3.92189961],[7.09943156e+00 1.31884264e+04]
417,98,1,[  2.80870327 253.41121045],[  1.83343314 307.34352828],[0.27459904 3.92926137],[   6.98480518 1333.75173587]
418,96,1,[  2.98201225 327.17688659],[  1.96937136 374.8769225 ],[0.27459904 3.40276002],[   6.98480518 1586.92299971]
419,95,1,[  2.91772249 393.26465953],[  1.94850675 452.13596076],[1.04672564 5.11666312],[   6.98480518 1954.16459456]
420,92,1,[  2.97585366 479.77808287],[  1.99686961 549.20241228],[1.01732267 5.9131131 ],[   6.98480518 2230.26333425]
421,96,1,[  2.94257831 522.63931438],[  1.95393482 588.38761895],[1.01732267 6.17819935],[   6.98480518 2230.26333425]
422,92,1,[  2.8845672  629.73976452],[  2.03513936 674.41136364],[0.98949539 6.17819935],[   6.98480518 2590.41875581]
423,96,1,[  2.98594182 683.49656775],[  2.11158551 749.7947314 ],[0.98949539 6.17819935],[   6.98480518 3127.2737432 ]
424,97,1,[  2.80243803 791.09855559],[  2.08034731 798.76651887],[0.98949539 6.17819935],[   6.98480518 3127.2737432 ]
425,97,2,[  1.6333806  391.18019239],[  1.98877594 250.78744715],[0.24258597 6.48340234],[  7.3021122  988.95143877]
426,96,2,[  1.74862042 433.24256038],[  2.01141365 294.18481205],[0.28308854 7.69477108],[   7.3021122  1214.63531488]
427,92,2,[  1.4659847  468.80409443],[  1.48536536 327.78865293],[0.28308854 8.75724517],[   7.30272141 2089.8004029 ]
428,96,2,[  1.37568943 640.67832578],[  1.38218816 632.38607654],[0.22592627 8.75724517],[   7.30272141 4149.27998548]
429,97,2,[  1.46232482 736.68016982],[  1.39871311 890.48158614],[0.22592627 8.78045419],[   7.95770641 5176.09623575]
430,92,2,[  1.57388269 917.43190906],[   1.45732834 1079.70391211],[0.22592627 8.78045419],[   7.95770641 5176.09623575]
431,92,2,[   1.60568329 1044.51577106],[   1.41964798 1277.4005423 ],[0.44131024 8.78159237],[   7.95770641 5176.09623575]
432,96,2,[   1.69072461 1109.20763688],[   1.45710016 1385.42415148],[0.44131024 8.97324612],[   7.95770641 5176.09623575]
433,98,0,[  2.84776347 275.05828572],[  1.78085162 951.64503763],[0.00899787 3.90190723],[7.65310439e+00 9.35501581e+03]
434,99,0,[  2.81643635 928.25334573],[1.82506678e+00 3.80225253e+03],[2.85862768e-03 4.24232874e+00],[7.65310439e+00 3.32733810e+04]
435,100,0,[   2.70137188 1440.32382716],[1.75955676e+00 5.41090885e+03],[2.85862768e-03 4.36538863e+00],[7.65310439e+00 3.72491090e+04]
436,96,0,[   2.95184916 2216.50408595],[2.05758847e+00 6.57078470e+03],[2.85862768e-03 4.36538863e+00],[7.65310439e+00 3.72491090e+04]
437,100,0,[2.72654788e+00 2.79089679e+03],[1.98693904e+00 7.09520786e+03],[2.85862768e-03 4.55014319e+00],[8.10925115e+00 3.72491090e+04]
438,92,0,[2.51925236e+00 3.84535097e+03],[2.05887933e+00 8.18587557e+03],[2.85862768e-03 4.55014319e+00],[8.10925115e+00 3.72491090e+04]
439,95,0,[2.19849376e+00 4.83502306e+03],[2.01164125e+00 9.49295043e+03],[2.85862768e-03 5.06483785e+00],[8.10925115e+00 3.72491090e+04]
440,95,0,[2.17238466e+00 3.95924808e+03],[1.96474611e+00 7.62813132e+03],[3.10370825e-03 5.40693471e+00],[8.10925115e+00 3.72491090e+04]
441,98,1,[  1.56665649 144.9321864 ],[  0.93598632 160.11089658],[-2.91167273e-02 -1.00000000e+02],[  4.01664118 461.88171863]
442,96,1,[  2.18749236 250.91819773],[  0.5557599  123.71638483],[ 0.46439009 16.99462054],[  4.17889662 656.90777013]
443,98,1,[  2.28209687 273.33513902],[  0.52699957 128.56245628],[1.70741575 8.27854909],[  4.17889662 656.90777013]
444,97,1,[  2.36824785 274.20711781],[  0.59474244 154.55771529],[0.85221413 8.27854909],[  4.17889662 656.90777013]
445,95,1,[  2.46153716 277.79968452],[  0.72030686 182.16719275],[0.84757489 8.27854909],[  4.17889662 720.35950179]
446,94,1,[  2.43739553 305.80673706],[  0.72981435 184.74216299],[0.85221413 9.79189433],[  4.53975321 720.35950179]
447,99,1,[  2.37465925 324.88341959],[  0.70138031 182.19738088],[ 0.77484906 27.86645841],[  4.53975321 724.28828175]
448,97,1,[  2.45366596 326.3944863 ],[  0.73916248 208.63718748],[ 0.77484906 37.91870597],[   4.53975321 1083.51657366]
449,94,2,[  1.88117461 179.86476856],[ 0.67016396 94.77925086],[ 0.04935722 17.37259261],[  3.75141977 542.18482735]
450,94,2,[  2.07920495 202.53951211],[  0.68811664 104.80252912],[ 0.04935722 23.17297608],[  3.75141977 542.18482735]
451,98,2,[  2.09929673 230.11011496],[  0.74195458 139.85544637],[ 0.04935722 11.95067396],[  4.05046754 996.51799077]
452,95,2,[  2.10833923 250.63863827],[  0.83355256 157.98952954],[ 0.04935722 16.23855287],[  4.05046754 996.51799077]
453,95,2,[  2.11504956 269.00635225],[  0.93299874 192.40524794],[ 0.05217802 20.22366922],[  4.26238644 996.51799077]
454,97,2,[  2.19230552 273.49865286],[  1.03292862 229.06123581],[0.05344252 3.0211462 ],[   4.90339814 1476.888278  ]
455,96,2,[  2.23810441 276.03450398],[  0.89716682 306.07888497],[0.0782742 3.0211462],[   4.90339814 2382.08303452]
456,96,2,[  2.19586481 327.38261303],[  0.98877792 436.60790265],[0.0782742 3.0211462],[   4.90339814 2382.08303452]
457,98,0,[ 3.14327939 99.02098045],[  0.82265731 264.38999883],[0.0240792  1.14140281],[   4.71389817 2692.30628052]
458,96,0,[  3.09429294 122.1159011 ],[  1.06378286 287.67820618],[0.00148717 1.33255596],[   4.96452813 2692.30628052]
459,99,0,[  3.11926023 192.14004029],[  1.28012077 530.73171364],[0.00148717 0.6237422 ],[   6.93453029 3690.35761322]
460,94,0,[  2.93792606 320.51971627],[   1.36849402 1120.31919777],[5.18840266e-03 6.83548787e+00],[6.93453029e+00 9.35501581e+03]
461,96,0,[  2.89552303 873.05792479],[1.52944418e+00 2.73821999e+03],[0.0079199  6.70315604],[6.93453029e+00 1.52066033e+04]
462,96,0,[   2.93888586 1766.2094521 ],[1.63333284e+00 5.62495362e+03],[2.76674977e-03 6.70315604e+00],[6.93453029e+00 3.70230011e+04]
463,96,0,[   2.97659195 1845.6803357 ],[1.58624883e+00 6.45571048e+03],[0.00276675 2.1622287 ],[6.96093194e+00 3.70230011e+04]
464,95,0,[   2.85315172 2113.26155052],[1.54229343e+00 6.99541448e+03],[2.76674977e-03 7.62787632e+00],[7.02124210e+00 3.70230011e+04]
465,98,1,[  2.12358723 301.6884678 ],[  0.58017491 200.6961784 ],[0.33899909 6.19849438],[  4.07699518 879.96405453]
466,93,1,[  2.20088226 313.87791279],[  0.49296184 194.18013927],[0.90638993 4.22004196],[  4.07699518 879.96405453]
467,97,1,[  2.16389922 377.58547827],[  0.5859377  244.73217861],[ 0.90368361 12.80513691],[   4.07699518 1048.50169242]
468,99,1,[  2.16085147 394.80730841],[  0.5870893  260.92274125],[ 0.80218548 12.80513691],[   4.07699518 1613.81599566]
469,93,1,[  2.10044659 464.03034693],[  0.64354225 343.65384031],[ 0.22687537 10.99265968],[   4.12428445 2204.88886739]
470,99,1,[  2.06538159 503.1405785 ],[  0.7359143 380.9990383],[ 0.22687537 10.99265968],[   4.12428445 2204.88886739]
471,96,1,[  2.07969576 544.35953412],[  0.78231586 532.23406241],[ 0.09519925 10.99265968],[   4.12428445 4034.64408668]
472,97,1,[  2.09557094 563.87747113],[  0.87677217 556.91366317],[ 0.09519925 10.99265968],[   4.12428445 4034.64408668]
473,95,2,[  1.35984325 178.41961971],[  0.72511773 126.28182507],[0.10167591 5.56381794],[  3.24663654 455.34371396]
474,98,2,[  1.7204028  188.68919509],[  0.75652274 139.32746743],[ 0.45171475 10.20460944],[  3.26880226 524.07271332]
475,98,2,[  1.84247468 225.80897757],[  0.87399269 194.29656953],[0.20194489 9.69316894],[   3.4802307  1521.38393045]
476,99,2,[  2.00048903 226.98662947],[  0.83646701 217.28891543],[0.20194489 1.87220484],[   3.4802307  1521.38393045]
477,97,2,[  2.00214431 263.67268919],[  0.87236079 249.93691714],[0.19655057 1.87220484],[   3.4802307  1521.38393045]
478,97,2,[  1.87447225 355.9108372 ],[  0.9810532  367.22089655],[0.17365137 1.87220484],[   3.49686262 1918.70454349]
479,100,2,[  1.69949507 425.63740653],[  1.02844587 412.24949017],[0.07770861 1.87220484],[   3.64244986 1918.70454349]
480,93,2,[  1.54022926 572.61327891],[  1.07844438 543.53347482],[0.16912672 9.69316894],[   3.64244986 1918.70454349]
481,97,0,[  2.35328228 244.87207871],[  1.4380114  792.00058397],[4.05408584e-04 8.00981242e+00],[5.43512089e+00 7.53838240e+03]
482,98,0,[  2.35939743 587.66821186],[   1.58705402 1568.48864465],[2.11163306e-04 5.60263092e+00],[5.43512089e+00 7.81632316e+03]
483,92,0,[  2.61276751 597.25065644],[1.53045776e+00 1.73437825e+03],[0.01405161 5.60263092],[5.54436059e+00 8.15486091e+03]
484,91,0,[  2.74269714 956.97268036],[1.66054646e+00 4.13560515e+03],[1.24508373e-03 2.71423804e+00],[6.56695566e+00 3.74790381e+04]
485,96,0,[   2.72265784 1848.54343236],[1.78971333e+00 6.63850751e+03],[1.24508373e-03 2.71423804e+00],[6.57694884e+00 3.74790381e+04]
486,97,0,[   2.83196472 2084.35617717],[1.83288977e+00 6.77082521e+03],[1.24508373e-03 3.87918652e+00],[7.11755307e+00 3.74790381e+04]
487,98,0,[   2.99812249 1733.95917026],[1.72315658e+00 6.69341925e+03],[1.24508373e-03 3.87918652e+00],[7.11755307e+00 3.74790381e+04]
488,98,0,[   3.03089874 2477.64374929],[1.80165421e+00 8.35229393e+03],[1.24508373e-03 4.13782551e+00],[7.11755307e+00 3.74790381e+04]
489,95,1,[  2.23215222 264.17113893],[  1.01800533 200.20845956],[0.79024518 5.66910588],[   6.53614716 1105.33872667]
490,95,1,[  2.33363254 319.91892137],[  1.05405582 232.85717733],[0.8187314  5.94599717],[   6.56822758 1105.33872667]
491,96,1,[  2.31926516 357.18179916],[  1.0602247  258.56650452],[0.79953643 6.02309938],[   6.77473689 1105.33872667]
492,100,1,[  2.37730745 371.78200816],[  1.13737859 291.28805209],[0.56696221 6.18158263],[   7.00574188 1317.3769712 ]
493,97,1,[  2.32281872 419.8886449 ],[  1.10523186 329.36166274],[0.56696221 7.02990599],[   7.00574188 1464.04540166]
494,92,1,[  2.30269838 460.50801386],[  1.16320004 345.41519136],[0.56696221 7.02990599],[   7.00574188 1464.04540166]
495,99,1,[  2.32828352 477.11255773],[  1.23649245 351.7936391 ],[0.56696221 7.02990599],[   7.00574188 1464.04540166]
496,94,1,[  2.50924878 474.35860622],[  1.41717767 375.26271576],[0.56696221 7.02990599],[   7.00574188 1464.04540166]
497,97,2,[  1.81622794 226.62518922],[  0.88486136 163.38933094],[0.08194939 5.69166386],[  6.27879846 842.09001356]
498,98,2,[  2.04125065 254.85914126],[  0.93287126 180.30907999],[0.08194939 5.69166386],[  6.27879846 842.09001356]
499,99,2,[  2.06966584 281.1545006 ],[  1.03455209 185.77090725],[0.08194939 5.06596221],[  6.27879846 842.09001356]
500,93,2,[  2.07693936 314.12084788],[  1.24570603 230.91665199],[0.07770861 5.69166386],[   6.27879846 1476.888278  ]
