gen,evals,dataset_i,avg,std,min,max
164,96,2,[  1.51516251 426.63427045],[  1.09256901 341.3263122 ],[ 0.24318721 15.97218922],[   4.32935037 1615.6469639 ]
165,96,2,[  1.62276244 432.63472005],[  1.14885274 371.5765493 ],[0.24318721 1.54985922],[   4.32935037 1615.6469639 ]
166,95,2,[  1.69759744 467.07313254],[  1.20805672 420.87698487],[0.24318721 1.54985922],[   4.32935037 1615.6469639 ]
167,99,2,[  1.7783915  486.67503324],[  1.21581633 472.40856163],[0.27626347 1.54985922],[   4.32935037 1834.7640896 ]
168,97,2,[  1.88751631 482.92936496],[  1.2364373  513.12639732],[0.27626347 1.76797869],[   4.32935037 2121.20607965]
169,94,0,[  2.62449652 252.7996564 ],[  1.28295607 989.24365486],[3.39949961e-04 1.32785825e+00],[5.66604775e+00 9.35501581e+03]
170,97,0,[  2.5964379  308.22086699],[   1.50833269 1023.52879888],[3.39949961e-04 2.04991208e+00],[5.98150669e+00 9.35501581e+03]
171,95,0,[  2.40612972 399.42060711],[   1.54363333 1180.99466544],[0.00875211 2.73582854],[7.38847270e+00 9.35501581e+03]
172,96,0,[  2.34316363 561.93313161],[1.34466144e+00 1.97487877e+03],[ 0.03541883 15.13999504],[7.38847270e+00 1.04813797e+04]
173,95,0,[  2.39774418 779.09207522],[1.55789654e+00 2.41202954e+03],[ 0.03541883 15.13999504],[7.38847270e+00 1.04813797e+04]
174,95,0,[  2.39065782 987.42010876],[1.74459749e+00 2.72608414e+03],[ 0.03541883 15.13999504],[7.38847270e+00 1.04813797e+04]
175,94,0,[   2.22822528 1396.80202629],[1.78848016e+00 3.45674509e+03],[8.13521166e-04 1.51399950e+01],[7.38847270e+00 1.80923239e+04]
176,92,0,[2.03061801e+00 2.14724912e+03],[1.80005010e+00 4.42564958e+03],[8.13521166e-04 3.47539741e+00],[7.38847270e+00 2.17918085e+04]
177,95,1,[-1.02088554 84.41856719],[ 14.18220227 172.24304288],[-100. -100.],[  5.31934179 850.82672876]
178,99,1,[  1.59822578 144.9175997 ],[  1.08298157 151.75404918],[0.13536369 9.52023824],[  5.31934179 850.82672876]
179,97,1,[  1.94451815 176.24115583],[  1.17426604 166.29276307],[0.13536369 9.52023824],[  5.59823091 850.82672876]
180,97,1,[  2.16541531 232.66905106],[  1.17617476 244.28686421],[0.29964822 9.52023824],[   5.59823091 1373.96689775]
181,97,1,[  2.2068913  315.27101246],[  1.28117061 436.46660755],[ 0.24993076 10.89487803],[   5.59823091 3709.72240116]
182,94,1,[  2.32823903 367.02220313],[  1.43499088 461.92130401],[0.24993076 3.1275075 ],[   6.44184016 3709.72240116]
183,96,1,[  2.42259488 377.17872542],[  1.43389984 478.71014292],[0.24993076 3.1275075 ],[   6.44184016 3709.72240116]
184,98,1,[  2.49901729 384.95677201],[  1.54149397 489.71741123],[0.201561  3.1275075],[   7.35854149 3709.72240116]
185,93,2,[  1.3041897  279.06791589],[  0.8501094 241.5354843],[0.16736297 6.78751972],[   3.75650153 1476.888278  ]
186,94,2,[  1.34826735 382.36038177],[  0.89320902 444.78371044],[ 0.19170518 10.10125257],[   3.75650153 3729.78279517]
